"category","sub_folder","filename","extension","size_gb","size_mb","size_bytes","file_date","full_path","relative_path"
"checkpoints","FLUX","flux1-dev-fp8.safetensors","safetensors","16.062","16447.6","17246524772","2026-01-12 14:58","C:\ComfyUI_Models\models\checkpoints\FLUX\flux1-dev-fp8.safetensors","checkpoints\FLUX\flux1-dev-fp8.safetensors"
"checkpoints","","hunyuan_3d_v2.1.safetensors","safetensors","6.86","7024.7","7365943290","2026-02-09 20:20","C:\ComfyUI_Models\models\checkpoints\hunyuan_3d_v2.1.safetensors","checkpoints\hunyuan_3d_v2.1.safetensors"
"checkpoints","","hunyuan3d-dit-v2-mv-turbo.safetensors","safetensors","4.59","4699.9","4928151562","2026-02-10 01:38","C:\ComfyUI_Models\models\checkpoints\hunyuan3d-dit-v2-mv-turbo.safetensors","checkpoints\hunyuan3d-dit-v2-mv-turbo.safetensors"
"checkpoints","","Qwen-Rapid-AIO-NSFW-v22.safetensors","safetensors","26.479","27114.7","28431839775","2026-01-26 21:17","C:\ComfyUI_Models\models\checkpoints\Qwen-Rapid-AIO-NSFW-v22.safetensors","checkpoints\Qwen-Rapid-AIO-NSFW-v22.safetensors"
"checkpoints","","realisticVisionV51_v51VAE.safetensors","safetensors","1.986","2033.8","2132625894","2026-01-17 15:38","C:\ComfyUI_Models\models\checkpoints\realisticVisionV51_v51VAE.safetensors","checkpoints\realisticVisionV51_v51VAE.safetensors"
"checkpoints","SD1.5","dreamshaper_8.safetensors","safetensors","1.986","2033.8","2132625894","2026-01-02 17:34","C:\ComfyUI_Models\models\checkpoints\SD1.5\dreamshaper_8.safetensors","checkpoints\SD1.5\dreamshaper_8.safetensors"
"checkpoints","SD1.5","juggernaut_reborn.safetensors","safetensors","1.986","2033.9","2132653060","2026-01-10 14:44","C:\ComfyUI_Models\models\checkpoints\SD1.5\juggernaut_reborn.safetensors","checkpoints\SD1.5\juggernaut_reborn.safetensors"
"checkpoints","SD3","sd3_medium.safetensors","safetensors","4.04","4136.7","4337667306","2026-01-12 21:31","C:\ComfyUI_Models\models\checkpoints\SD3\sd3_medium.safetensors","checkpoints\SD3\sd3_medium.safetensors"
"checkpoints","SDXL","albedobaseXL_v21.safetensors","safetensors","6.462","6616.6","6938041042","2026-01-18 15:23","C:\ComfyUI_Models\models\checkpoints\SDXL\albedobaseXL_v21.safetensors","checkpoints\SDXL\albedobaseXL_v21.safetensors"
"checkpoints","SDXL","Juggernaut_X_RunDiffusion.safetensors","safetensors","6.617","6776.2","7105348672","2026-01-12 19:05","C:\ComfyUI_Models\models\checkpoints\SDXL\Juggernaut_X_RunDiffusion.safetensors","checkpoints\SDXL\Juggernaut_X_RunDiffusion.safetensors"
"checkpoints","SDXL","sd_xl_base_1.0.safetensors","safetensors","6.462","6616.7","6938078334","2025-11-26 23:54","C:\ComfyUI_Models\models\checkpoints\SDXL\sd_xl_base_1.0.safetensors","checkpoints\SDXL\sd_xl_base_1.0.safetensors"
"checkpoints","SDXL_Turbo","sd_xl_turbo_1.0.safetensors","safetensors","12.923","13233","13875761366","2026-01-01 13:52","C:\ComfyUI_Models\models\checkpoints\SDXL_Turbo\sd_xl_turbo_1.0.safetensors","checkpoints\SDXL_Turbo\sd_xl_turbo_1.0.safetensors"
"checkpoints","Z-image","z-image-turbo-fp8-aio.safetensors","safetensors","9.635","9865.9","10345190658","2026-01-20 21:30","C:\ComfyUI_Models\models\checkpoints\Z-image\z-image-turbo-fp8-aio.safetensors","checkpoints\Z-image\z-image-turbo-fp8-aio.safetensors"
"clip","","EVA02_CLIP_L_336_psz14_s6B.pt","pt","0.798","816.8","856461210","2026-01-14 22:48","C:\ComfyUI_Models\models\clip\EVA02_CLIP_L_336_psz14_s6B.pt","clip\EVA02_CLIP_L_336_psz14_s6B.pt"
"clip_vision","","CLIP-ViT-H-14-laion2B-s32B-b79K.safetensors","safetensors","3.436","3519","3689912664","2026-01-15 01:43","C:\ComfyUI_Models\models\clip_vision\CLIP-ViT-H-14-laion2B-s32B-b79K.safetensors","clip_vision\CLIP-ViT-H-14-laion2B-s32B-b79K.safetensors"
"clip_vision","","CLIP-ViT-H-14-openclip.safetensors","safetensors","3.674","3761.8","3944517836","2026-01-17 15:58","C:\ComfyUI_Models\models\clip_vision\CLIP-ViT-H-14-openclip.safetensors","clip_vision\CLIP-ViT-H-14-openclip.safetensors"
"clip_vision","","ip-adapter-plus_sdxl_vit-h.safetensors","safetensors","0.789","808.3","847517512","2026-01-15 02:02","C:\ComfyUI_Models\models\clip_vision\ip-adapter-plus_sdxl_vit-h.safetensors","clip_vision\ip-adapter-plus_sdxl_vit-h.safetensors"
"clip_vision","","open_clip_model.safetensors","safetensors","3.674","3761.8","3944517836","2026-01-17 15:58","C:\ComfyUI_Models\models\clip_vision\open_clip_model.safetensors","clip_vision\open_clip_model.safetensors"
"clip_vision","","open_clip_pytorch_model.bin","bin","3.674","3762","3944692325","2026-01-15 02:32","C:\ComfyUI_Models\models\clip_vision\open_clip_pytorch_model.bin","clip_vision\open_clip_pytorch_model.bin"
"controlnet","","control_v11f1p_sd15_depth.pth","pth","1.346","1378.3","1445235365","2026-01-09 21:28","C:\ComfyUI_Models\models\controlnet\control_v11f1p_sd15_depth.pth","controlnet\control_v11f1p_sd15_depth.pth"
