"source","workflow_file","workflow_dir","workflow_modified","node_label","model_ref","model_filename","model_category","model_path","model_size_gb","on_disk"
"workflows","workflows\100 EditImage - flux1-kontext-dev-styles.json","C:\ComfyUI_easy\ComfyUI-Easy-Install\ComfyUI\user\default\workflows","2026-02-15 19:25","UNETLoader","FLUX1_Kontext\flux1-kontext-dev-fp8-e4m3fn.safetensors","flux1-kontext-dev-fp8-e4m3fn.safetensors","diffusion_models","C:\ComfyUI_Models\models\diffusion_models\FLUX1_Kontext\flux1-kontext-dev-fp8-e4m3fn.safetensors","11.084","YES"
"workflows","workflows\100 EditImage - flux1-kontext-dev-styles.json","C:\ComfyUI_easy\ComfyUI-Easy-Install\ComfyUI\user\default\workflows","2026-02-15 19:25","DualCLIPLoader","FLUX_Fill\clip_l.safetensors","clip_l.safetensors","text_encoders","C:\ComfyUI_Models\models\text_encoders\FLUX_Fill\clip_l.safetensors","0.229","YES"
"workflows","workflows\100 EditImage - flux1-kontext-dev-styles.json","C:\ComfyUI_easy\ComfyUI-Easy-Install\ComfyUI\user\default\workflows","2026-02-15 19:25","DualCLIPLoader","SD3\t5xxl_fp8_e4m3fn.safetensors","t5xxl_fp8_e4m3fn.safetensors","text_encoders","C:\ComfyUI_Models\models\text_encoders\SD3\t5xxl_fp8_e4m3fn.safetensors","4.558","YES"
"workflows","workflows\100 EditImage - flux1-kontext-dev-styles.json","C:\ComfyUI_easy\ComfyUI-Easy-Install\ComfyUI\user\default\workflows","2026-02-15 19:25","VAELoader","FLUX_Fill\ae.safetensors","ae.safetensors","vae","C:\ComfyUI_Models\models\vae\FLUX2\ae.safetensors","0.313","YES"
"workflows","workflows\110 Edit Image - Flux 2 Klein 4B - One Image Edit.json","C:\ComfyUI_easy\ComfyUI-Easy-Install\ComfyUI\user\default\workflows","2026-02-10 21:05","UNETLoader","FLUX2\flux-2-klein-4b-fp8.safetensors","flux-2-klein-4b-fp8.safetensors","diffusion_models","C:\ComfyUI_Models\models\diffusion_models\FLUX2\flux-2-klein-4b-fp8.safetensors","3.791","YES"
"workflows","workflows\110 Edit Image - Flux 2 Klein 4B - One Image Edit.json","C:\ComfyUI_easy\ComfyUI-Easy-Install\ComfyUI\user\default\workflows","2026-02-10 21:05","CLIPLoader","FLUX2\qwen_3_4b.safetensors","qwen_3_4b.safetensors","text_encoders","C:\ComfyUI_Models\models\text_encoders\FLUX2\qwen_3_4b.safetensors","7.492","YES"
"workflows","workflows\110 Edit Image - Flux 2 Klein 4B - One Image Edit.json","C:\ComfyUI_easy\ComfyUI-Easy-Install\ComfyUI\user\default\workflows","2026-02-10 21:05","VAELoader","FLUX2\ae.safetensors","ae.safetensors","vae","C:\ComfyUI_Models\models\vae\FLUX2\ae.safetensors","0.313","YES"
"workflows","workflows\110c Edit Image - Flux 2 Klein 4B - One Image Edit.json","C:\ComfyUI_easy\ComfyUI-Easy-Install\ComfyUI\user\default\workflows","2026-02-11 14:41","UNETLoader","FLUX2\flux-2-klein-4b-fp8.safetensors","flux-2-klein-4b-fp8.safetensors","diffusion_models","C:\ComfyUI_Models\models\diffusion_models\FLUX2\flux-2-klein-4b-fp8.safetensors","3.791","YES"
"workflows","workflows\110c Edit Image - Flux 2 Klein 4B - One Image Edit.json","C:\ComfyUI_easy\ComfyUI-Easy-Install\ComfyUI\user\default\workflows","2026-02-11 14:41","CLIPLoader","FLUX2\qwen_3_4b.safetensors","qwen_3_4b.safetensors","text_encoders","C:\ComfyUI_Models\models\text_encoders\FLUX2\qwen_3_4b.safetensors","7.492","YES"
"workflows","workflows\110c Edit Image - Flux 2 Klein 4B - One Image Edit.json","C:\ComfyUI_easy\ComfyUI-Easy-Install\ComfyUI\user\default\workflows","2026-02-11 14:41","VAELoader","FLUX2\flux2-vae.safetensors","flux2-vae.safetensors","vae","C:\ComfyUI_Models\models\vae\FLUX2\flux2-vae.safetensors","0.313","YES"
