"model_ref","workflow_file","node_label"
"1.5\control_v11p_sd15_scribble_fp16.safetensors","workflows-png\ComfyUI_00089_sd15.png","Load ControlNet Model (ControlNetLoader)"
"4x_foolhardy_Remacri.pth","workflows\workflow-model-based-pixel-upscale-workflow-V6horzh1YQN8Pz5rJXzP-openart-openart.ai.json","UpscaleModelLoader"
"4x-AnimeSharp.pth","workflows\img2img.json","UpscaleModelLoader"
"4xFaceUpDAT.pth","workflows\workflow-flux-outpaint-pro-M3OEFh46Ojtb6RcdOCsI-myaiforce-openart.ai.json","UpscaleModelLoader"
"4xFaceUpDAT.pth","workflows\workflow-flux-outpaint-yA4J92GIBHFaOsY0CnVx-weasel_dimpled_56-openart.ai.json","UpscaleModelLoader"
"aziibpixelmix_v10.safetensors","workflows\external_Pixelate.json","CheckpointLoaderSimple"
"bopbtl\detection\FT_Epoch_latest.pt","workflows\workflow-old-photo-restoration-xl-vKtihSX1DGBiBjAovlSP-datou-openart.ai.json","BOPBTL_LoadScratchMaskModel"
"bopbtl\mapping_Patch_Attention\latest_net_mapping_net.pth","workflows\workflow-old-photo-restoration-xl-vKtihSX1DGBiBjAovlSP-datou-openart.ai.json","BOPBTL_LoadRestoreOldPhotosModel"
"bopbtl\VAE_A_quality\latest_net_G.pth","workflows\workflow-old-photo-restoration-xl-vKtihSX1DGBiBjAovlSP-datou-openart.ai.json","BOPBTL_LoadRestoreOldPhotosModel"
"bopbtl\VAE_B_scratch\latest_net_G.pth","workflows\workflow-old-photo-restoration-xl-vKtihSX1DGBiBjAovlSP-datou-openart.ai.json","BOPBTL_LoadRestoreOldPhotosModel"
"civitai\dixar_IIITripleTheD.safetensors","workflows\DixarTest.json","CheckpointLoaderSimple"
"civitai\sdxl_glass.safetensors","png-outputs\glass_00044_.png","Load LoRA (LoraLoader)"
"civitai\sdxl_glass.safetensors","png-outputs\glass_00043_.png","Load LoRA (LoraLoader)"
"codeformer.pth","workflows\workflow-hyper-realistic-face-swap-NHak5yfr3oLLrQMY0Ogc-iahmedabdelnaby-openart.ai.json","FaceRestoreModelLoader"
"codeformer-v0.1.0.pth","workflows\workflow-old-photo-restoration-xl-vKtihSX1DGBiBjAovlSP-datou-openart.ai.json","ReActorFaceSwap"
"control_v11f1e_sd15_tile.pth","workflows\FixMulti.json","ControlNetLoader"
"control_v11f1e_sd15_tile.pth","workflows\workflow-multiple-controlnets-3HIfLiwaT2UoruwUI5Bm-openart-openart.ai.json","ControlNetLoader"
"control_v11p_sd15_canny.pth","workflows-png\ComfyUI_00042_sd15.png","Load ControlNet Model (ControlNetLoader)"
"D:\ComfyUI\models\LLM\Qwen-VL\Qwen3-VL-8B-Instruct-IQ4_XS.gguf","workflows\workflow-flux-fill-onereward-outpaint-XeWZ1JnLJ28Aj2ke5EDg-makisekurisu-openart.ai.json","SimpleQwenVLgguf"
"D:\ComfyUI\models\LLM\Qwen-VL\Qwen3-VL-8B-Instruct-mmproj-F16.gguf","workflows\workflow-flux-fill-onereward-outpaint-XeWZ1JnLJ28Aj2ke5EDg-makisekurisu-openart.ai.json","SimpleQwenVLgguf"
"da3_large.safetensors","workflows\Fredy27_min_styles.json","DownloadAndLoadDepthAnythingV3Model"
"da3_large.safetensors","workflows\Fredy27_max.json","DownloadAndLoadDepthAnythingV3Model"
"da3_large.safetensors","workflows\Fredy27_workflow_2026-02-02_orig.json","DownloadAndLoadDepthAnythingV3Model"
"da3_large.safetensors","workflows\180 General Editing - Fredy - Styles - Qwen 2511 - NSFW.json","DownloadAndLoadDepthAnythingV3Model"
"da3_large.safetensors","workflows\190 EDIT_ADD_IMAGE QwenEdit2511.json","DownloadAndLoadDepthAnythingV3Model"
"depth_anything_v2_vitb.pth","workflows\workflow-old-photo-restoration-xl-vKtihSX1DGBiBjAovlSP-datou-openart.ai.json","DepthAnythingV2Preprocessor"
"depth_anything_v2_vitl.pth","workflows\FaceLock2.json","DepthAnythingV2Preprocessor"
"depth_anything_vitl14.pth","workflows-png\ComfyUI_00201_.png","Depth Anything (DepthAnythingPreprocessor)"
"depth_anything_vitl14.pth","workflows\Flux ControlNet to SDXL to Refiner to Upscale to Flux.json","DepthAnythingPreprocessor"
"depth_anything_vitl14.pth","workflows\workflow-photos-to-manga-style-3CTEJ480CyJ6QNruEcvy-norsizu-openart.ai.json","DepthAnythingPreprocessor"
"depth_anything_vitl14.pth","workflows-png\ComfyUI_00049_sd15.png","Depth Anything (DepthAnythingPreprocessor)"
