"filename","category","full_path","relative_path","size_gb"
"open_clip_model.safetensors","clip_vision","C:\ComfyUI_Models\models\clip_vision\open_clip_model.safetensors","clip_vision\open_clip_model.safetensors","3.674"
"open_clip_pytorch_model.bin","clip_vision","C:\ComfyUI_Models\models\clip_vision\open_clip_pytorch_model.bin","clip_vision\open_clip_pytorch_model.bin","3.674"
"flux-2-klein-base-9b.safetensors","diffusion_models","C:\ComfyUI_Models\models\diffusion_models\FLUX2\flux-2-klein-base-9b.safetensors","diffusion_models\FLUX2\flux-2-klein-base-9b.safetensors","16.91"
"detection_Resnet50_Final.pth","facexlib","C:\ComfyUI_Models\models\facexlib\detection_Resnet50_Final.pth","facexlib\detection_Resnet50_Final.pth","0.102"
"parsing_bisenet.pth","facexlib","C:\ComfyUI_Models\models\facexlib\parsing_bisenet.pth","facexlib\parsing_bisenet.pth","0.05"
"detection_Resnet50_Final.pth","facexllib","C:\ComfyUI_Models\models\facexllib\detection_Resnet50_Final.pth","facexllib\detection_Resnet50_Final.pth","0.102"
"parsing_bisenet.pth","facexllib","C:\ComfyUI_Models\models\facexllib\parsing_bisenet.pth","facexllib\parsing_bisenet.pth","0.05"
"parsing_parsenet.pth","facexllib","C:\ComfyUI_Models\models\facexllib\parsing_parsenet.pth","facexllib\parsing_parsenet.pth","0.079"
"ip-adapter-faceid-plusv2_sd15.bin","ipadapter - Copy","C:\ComfyUI_Models\models\ipadapter - Copy\ip-adapter-faceid-plusv2_sd15.bin","ipadapter - Copy\ip-adapter-faceid-plusv2_sd15.bin","0.146"
"appearance_feature_extractor.safetensors","liveportrait","C:\ComfyUI_Models\models\liveportrait\appearance_feature_extractor.safetensors","liveportrait\appearance_feature_extractor.safetensors","0.003"
"motion_extractor.safetensors","liveportrait","C:\ComfyUI_Models\models\liveportrait\motion_extractor.safetensors","liveportrait\motion_extractor.safetensors","0.105"
"spade_generator.safetensors","liveportrait","C:\ComfyUI_Models\models\liveportrait\spade_generator.safetensors","liveportrait\spade_generator.safetensors","0.207"
"stitching_retargeting_module.safetensors","liveportrait","C:\ComfyUI_Models\models\liveportrait\stitching_retargeting_module.safetensors","liveportrait\stitching_retargeting_module.safetensors","0.001"
"warping_module.safetensors","liveportrait","C:\ComfyUI_Models\models\liveportrait\warping_module.safetensors","liveportrait\warping_module.safetensors","0.17"
"llama-joycaption-beta-one-hf-llava.IQ4_XS.gguf","LLM","C:\ComfyUI_Models\models\LLM\GGUF\llama-joycaption-beta-one-hf-llava.IQ4_XS.gguf","LLM\GGUF\llama-joycaption-beta-one-hf-llava.IQ4_XS.gguf","4.176"
"llama-joycaption-beta-one-llava-mmproj-model-f16.gguf","LLM","C:\ComfyUI_Models\models\LLM\GGUF\llama-joycaption-beta-one-llava-mmproj-model-f16.gguf","LLM\GGUF\llama-joycaption-beta-one-llava-mmproj-model-f16.gguf","0.817"
"model-00001-of-00004.safetensors","LLM","C:\ComfyUI_Models\models\LLM\llama-joycaption-beta-one\model-00001-of-00004.safetensors","LLM\llama-joycaption-beta-one\model-00001-of-00004.safetensors","4.551"
"model-00001-of-00004.safetensors","LLM","C:\ComfyUI_Models\models\LLM\llama-joycaption-alpha-two\model-00001-of-00004.safetensors","LLM\llama-joycaption-alpha-two\model-00001-of-00004.safetensors","4.576"
"model-00002-of-00004.safetensors","LLM","C:\ComfyUI_Models\models\LLM\llama-joycaption-beta-one\model-00002-of-00004.safetensors","LLM\llama-joycaption-beta-one\model-00002-of-00004.safetensors","4.656"
"model-00002-of-00004.safetensors","LLM","C:\ComfyUI_Models\models\LLM\llama-joycaption-alpha-two\model-00002-of-00004.safetensors","LLM\llama-joycaption-alpha-two\model-00002-of-00004.safetensors","4.656"
"model-00003-of-00004.safetensors","LLM","C:\ComfyUI_Models\models\LLM\llama-joycaption-alpha-two\model-00003-of-00004.safetensors","LLM\llama-joycaption-alpha-two\model-00003-of-00004.safetensors","4.578"
"model-00003-of-00004.safetensors","LLM","C:\ComfyUI_Models\models\LLM\llama-joycaption-beta-one\model-00003-of-00004.safetensors","LLM\llama-joycaption-beta-one\model-00003-of-00004.safetensors","4.578"
"model-00004-of-00004.safetensors","LLM","C:\ComfyUI_Models\models\LLM\llama-joycaption-alpha-two\model-00004-of-00004.safetensors","LLM\llama-joycaption-alpha-two\model-00004-of-00004.safetensors","2.822"
"model-00004-of-00004.safetensors","LLM","C:\ComfyUI_Models\models\LLM\llama-joycaption-beta-one\model-00004-of-00004.safetensors","LLM\llama-joycaption-beta-one\model-00004-of-00004.safetensors","2.01"
"chahua.safetensors","loras","C:\ComfyUI_Models\models\loras\SDXL\chahua.safetensors","loras\SDXL\chahua.safetensors","0.159"
"ColoringBookRedmond-ColoringBook-ColoringBookAF.safetensors","loras","C:\ComfyUI_Models\models\loras\SDXL\ColoringBookRedmond-ColoringBook-ColoringBookAF.safetensors","loras\SDXL\ColoringBookRedmond-ColoringBook-ColoringBookAF.safetensors","0.159"
"faceid_sd15_lora.safetensors","loras","C:\ComfyUI_Models\models\loras\faceid_sd15_lora.safetensors","loras\faceid_sd15_lora.safetensors","0.048"
"Flux Color Pop Sketch LoRA_v1.0.safetensors","loras","C:\ComfyUI_Models\models\loras\FLUX\Flux Color Pop Sketch LoRA_v1.0.safetensors","loras\FLUX\Flux Color Pop Sketch LoRA_v1.0.safetensors","0.285"
"Flux_2-Turbo-LoRA_comfyui.safetensors","loras","C:\ComfyUI_Models\models\loras\FLUX2\Flux_2-Turbo-LoRA_comfyui.safetensors","loras\FLUX2\Flux_2-Turbo-LoRA_comfyui.safetensors","2.571"
"ip-adapter-faceid_sd15_lora.safetensors","loras","C:\ComfyUI_Models\models\loras\ip-adapter-faceid_sd15_lora.safetensors","loras\ip-adapter-faceid_sd15_lora.safetensors","0.048"
"ip-adapter-faceid-plusv2_sd15_lora.safetensors","loras","C:\ComfyUI_Models\models\loras\ip-adapter-faceid-plusv2_sd15_lora.safetensors","loras\ip-adapter-faceid-plusv2_sd15_lora.safetensors","0.048"
"ip-adapter-faceid-plusv2_sdxl_lora.safetensors","loras","C:\ComfyUI_Models\models\loras\ip-adapter-faceid-plusv2_sdxl_lora.safetensors","loras\ip-adapter-faceid-plusv2_sdxl_lora.safetensors","0.346"
"z_image_turbo_distill_patch_lora_bf16.safetensors","loras","C:\ComfyUI_Models\models\loras\Z-Image\z_image_turbo_distill_patch_lora_bf16.safetensors","loras\Z-Image\z_image_turbo_distill_patch_lora_bf16.safetensors","0.148"
"qwen_3_4b_fp4_mixed.safetensors","text_encoders","C:\ComfyUI_Models\models\text_encoders\Z-Image\qwen_3_4b_fp4_mixed.safetensors","text_encoders\Z-Image\qwen_3_4b_fp4_mixed.safetensors","3.24"
"qwen_3_4b_fp8_mixed.safetensors","text_encoders","C:\ComfyUI_Models\models\text_encoders\Z-Image\qwen_3_4b_fp8_mixed.safetensors","text_encoders\Z-Image\qwen_3_4b_fp8_mixed.safetensors","5.245"
"face_yolov8n.pt","ultralytics","C:\ComfyUI_Models\models\ultralytics\face_yolov8n.pt","ultralytics\face_yolov8n.pt","0.006"
"hand_yolov8s.pt","ultralytics","C:\ComfyUI_Models\models\ultralytics\bbox\hand_yolov8s.pt","ultralytics\bbox\hand_yolov8s.pt","0.021"
"person_yolov8m-seg.pt","ultralytics","C:\ComfyUI_Models\models\ultralytics\segm\person_yolov8m-seg.pt","ultralytics\segm\person_yolov8m-seg.pt","0.051"
"taef1_decoder.safetensors","vae_approx","C:\ComfyUI_Models\models\vae_approx\taef1_decoder.safetensors","vae_approx\taef1_decoder.safetensors","0.002"
"taef1_encoder.safetensors","vae_approx","C:\ComfyUI_Models\models\vae_approx\taef1_encoder.safetensors","vae_approx\taef1_encoder.safetensors","0.002"
"taesd_decoder.safetensors","vae_approx","C:\ComfyUI_Models\models\vae_approx\taesd_decoder.safetensors","vae_approx\taesd_decoder.safetensors","0.002"
"taesd_encoder.safetensors","vae_approx","C:\ComfyUI_Models\models\vae_approx\taesd_encoder.safetensors","vae_approx\taesd_encoder.safetensors","0.002"
"taesd3_decoder.safetensors","vae_approx","C:\ComfyUI_Models\models\vae_approx\taesd3_decoder.safetensors","vae_approx\taesd3_decoder.safetensors","0.002"
"taesd3_encoder.safetensors","vae_approx","C:\ComfyUI_Models\models\vae_approx\taesd3_encoder.safetensors","vae_approx\taesd3_encoder.safetensors","0.002"
"taesdxl_decoder.safetensors","vae_approx","C:\ComfyUI_Models\models\vae_approx\taesdxl_decoder.safetensors","vae_approx\taesdxl_decoder.safetensors","0.002"
"taesdxl_encoder.safetensors","vae_approx","C:\ComfyUI_Models\models\vae_approx\taesdxl_encoder.safetensors","vae_approx\taesdxl_encoder.safetensors","0.002"
